,State,Geographic area,Population,Density per square mile of land area - Population
5294,Florida,"Seminole Manor CDP, Palm Beach County",2621,6642.6
40601,Puerto Rico,"Cab��n comunidad, Aguadilla Municipio",3334,6643.4
2995,California,"Montclair city, San Bernardino County",36664,6645.4
33756,Texas,"Alto Bonito Heights CDP, Starr County",342,6646.1
29879,Pennsylvania,"Folsom CDP, Delaware County",8323,6659
22175,New Jersey,"Princeton Meadows CDP, Middlesex County",13834,6659.2
36133,Utah,"White City CDP, Salt Lake County",5407,6659.6
29209,Pennsylvania,"Brentwood borough, Allegheny County",9643,6660.8
3261,California,"Rossmoor CDP, Orange County",10244,6660.9
23390,New York,"Eastchester town, Westchester County",32363,6668.6
40826,Puerto Rico,"Trujillo Alto zona urbana, Trujillo Alto Municipio",48437,6679.1
22172,New Jersey,"Princeton borough, Mercer County",12307,6679.2
30733,Pennsylvania,"Mifflintown borough, Juniata County",936,6680.6
24934,New York,"West Haverstraw village, Rockland County",10165,6689.9
4871,Florida,"Hialeah Gardens city, Miami-Dade County",21744,6690.1
34750,Texas,"La Villa city, Hidalgo County",1957,6692.8
2136,California,"Antelope CDP, Sacramento County",45770,6694.2
30767,Pennsylvania,"Minersville borough, Schuylkill County",4397,6694.6
4945,Florida,"Kenwood Estates CDP, Palm Beach County",1283,6702.4
2163,California,"August CDP, San Joaquin County",8390,6705.8
32153,Pennsylvania,"West View borough, Allegheny County",6771,6705.9
28505,Oregon,"Aloha CDP, Washington County",49425,6708.2
21702,New Jersey,"Caldwell borough, Essex County",7822,6710.3
25000,New York,"Woodmere CDP, Nassau County",17121,6712.7
4986,Florida,"Lakewood Gardens CDP, Palm Beach County",1273,6716.3
22958,New York,"Baldwin Harbor CDP, Nassau County",8102,6721.2
35160,Texas,"Pena CDP, Starr County",118,6724.1
3256,California,"Roseland CDP, Sonoma County",6325,6726.5
28957,Pennsylvania,"Allentown city, Lehigh County",118032,6727.1
4630,Florida,"Brownsville CDP, Miami-Dade County",15313,6731.9
4457,Delaware,"Bellefonte town, New Castle County",1193,6732.1
31113,Pennsylvania,"Penbrook borough, Dauphin County",3008,6735.2
40723,Puerto Rico,"Manat�_ zona urbana, Manat�_ Municipio",14011,6738.3
21932,New Jersey,"Jamesburg borough, Middlesex County",5915,6741.8
2131,California,"Anaheim city, Orange County",336265,6747.5
12962,Maryland,"Martin's Additions village, Montgomery County",933,6749.8
34245,Texas,"El Castillo CDP, Starr County",188,6758.9
21765,New Jersey,"Dover town, Morris County",18157,6765.5
36976,Virginia,"Quantico town, Prince William County",480,6774.9
2296,California,"Campbell city, Santa Clara County",39349,6786.5
5385,Florida,"University Park CDP, Miami-Dade County",26995,6796.3
4826,Florida,"Golden Glades CDP, Miami-Dade County",33145,6797.2
2410,California,"Covina city, Los Angeles County",47796,6803
5006,Florida,"Leisure City CDP, Miami-Dade County",22655,6803.2
6360,Hawaii,"Waikele CDP, Honolulu County",7479,6807.7
32204,Pennsylvania,"Wilson borough, Northampton County",7896,6809.2
5137,Florida,"Ojus CDP, Miami-Dade County",18036,6816.6
3500,California,"Tustin city, Orange County",75540,6816.7
2762,California,"Kettleman City CDP, Kings County",1439,6819.9
24700,New York,"South Valley Stream CDP, Nassau County",5962,6830.6
1195,Arizona,"Guadalupe town, Maricopa County",5523,6833
2319,California,"Casa Conejo CDP, Ventura County",3249,6836.5
11959,Louisiana,"Timberlane CDP, Jefferson Parish",10243,6840.3
3428,California,"Suisun City city, Solano County",28111,6847.6
26673,Ohio,"Elmwood Place village, Hamilton County",2188,6853
19576,Missouri,"Lakeshire city, St. Louis County",1432,6856.1
22996,New York,"Bellmore CDP, Nassau County",16218,6876.3
2513,California,"El Cajon city, San Diego County",99478,6892.5
4943,Florida,"Kenneth City town, Pinellas County",4980,6894.5
