,State,Geographic area,Population,Density per square mile of land area - Population
17336,Minnesota,"Marion township, Olmsted County",3653,123.8
26224,North Dakota,Cavalier County (part),24,123.8
29936,Pennsylvania,"Frazer township, Allegheny County",1157,123.8
34197,Texas,"DISH town, Denton County",201,123.8
1133,Arizona,"Deer Creek CDP, Gila County",216,123.9
5331,Florida,"Spring Ridge CDP, Gilchrist County",398,123.9
7121,Illinois,"Fairview village, Fulton County",522,123.9
12033,Maine,"Bar Harbor town, Hancock County",5235,123.9
31421,Pennsylvania,"Sadsbury township, Crawford County",2933,123.9
9801,Iowa,"Plano city, Appanoose County",70,124
10316,Kansas,"Elk Falls city, Elk County",107,124
32183,Pennsylvania,"Wiconisco township, Dauphin County",1210,124
28699,Oregon,"Langlois CDP, Curry County",177,124.1
14545,Michigan,"Hamlin township, Mason County",3408,124.2
14956,Michigan,"Metamora township, Lapeer County",4249,124.2
20310,Montana,"Helena Flats CDP, Flathead County",1043,124.2
21475,New Hampshire,"New Boston town, Hillsborough County",5321,124.2
23909,New York,"Liberty town, Sullivan County",9885,124.2
24088,New York,"Montour town, Schuyler County",2308,124.2
30293,Pennsylvania,"Jefferson township, Berks County",1977,124.2
39589,Wisconsin,"New Odanah CDP, Ashland County",472,124.2
1678,Arkansas,"Enola town, Faulkner County",338,124.3
1896,Arkansas,"Mount Pleasant town, Izard County",414,124.3
20334,Montana,"Joplin CDP, Liberty County",157,124.3
35434,Texas,Comal County (part),845,124.3
11620,Louisiana,Lafourche Parish (part),459,124.4
24894,New York,"Watertown town, Jefferson County",4470,124.4
3242,California,"Robbins CDP, Sutter County",323,124.5
15359,Michigan,"Salem township, Allegan County",4446,124.5
21756,New Jersey,"Delaware township, Hunterdon County",4563,124.5
29643,Pennsylvania,"Durham township, Bucks County",1144,124.5
38266,Wisconsin,"Aniwa village, Shawano County",260,124.5
5505,Georgia,"Ambrose city, Coffee County",380,124.6
5628,Georgia,"Centralhatchee town, Heard County",408,124.6
7750,Illinois,"Otterville town, Jersey County",126,124.6
9512,Iowa,"Kent CDP, Union County",61,124.6
24671,New York,"Sodus town, Wayne County",8384,124.6
2186,California,"Bear Valley Springs CDP, Kern County",5172,124.7
9410,Iowa,"Grant city, Montgomery County",92,124.7
19423,Missouri,"Grayridge CDP, Stoddard County",127,124.7
20878,Nebraska,"Merriman village, Cherry County",128,124.7
24626,New York,"Sennett town, Cayuga County",3595,124.7
28813,Oregon,"Ruch CDP, Jackson County",840,124.7
33029,South Dakota,"Marty CDP, Charles Mix County",402,124.7
5552,Georgia,"Bellville city, Evans County",123,124.8
6710,Illinois,Cook County (part),2168,124.8
19330,Missouri,Butler County (part),185,124.8
9064,Iowa,"Bartlett CDP, Fremont County",50,124.9
20800,Nebraska,"Huntley village, Harlan County",44,124.9
5837,Georgia,"Jakin city, Early County",155,125
22467,New Mexico,Santa Fe County (part),645,125
28292,Oklahoma,"Renfrow town, Grant County",12,125
37612,Washington,Queets CDP,174,125
18837,Mississippi,"New Augusta town, Perry County",644,125.2
36144,Vermont,"Albany village, Orleans County",193,125.2
2191,California,"Bella Vista CDP, Shasta County",2781,125.3
6052,Georgia,"Riddleville town, Washington County",96,125.3
12188,Maine,"Fairfield town, Somerset County",6735,125.3
651,Alabama,"Webb town, Houston County",1430,125.4
5899,Georgia,"McIntyre town, Wilkinson County",650,125.4
14984,Michigan,"Mills township, Ogemaw County",4291,125.4
33206,Tennessee,Hardin County (part),47,125.4
24094,New York,"Moravia town, Cayuga County",3626,125.5
31002,Pennsylvania,"North Woodbury township, Blair County",2644,125.5
28363,Oklahoma,Osage County (part),29,125.6
1166,Arizona,"Fort Apache CDP, Navajo County",143,125.7
2429,California,"Cuyama CDP, Santa Barbara County",57,125.7
6048,Georgia,"Rhine town, Dodge County",394,125.7
23984,New York,"Mamakating town, Sullivan County",12085,125.7
8678,Indiana,"Millhousen town, Decatur County",127,125.8
33775,Texas,"Angus city, Navarro County",414,125.8
39712,Wisconsin,"Pine River CDP, Waushara County",147,125.8
1421,Arizona,"Taylor town, Navajo County",4112,125.9
30038,Pennsylvania,"Greene township, Erie County",4706,125.9
30079,Pennsylvania,"Halifax township, Dauphin County",3483,125.9
32191,Pennsylvania,"Williams township, Dauphin County",1112,125.9
36263,Vermont,"Grand Isle town, Grand Isle County",2067,125.9
15375,Michigan,"Saugatuck township, Allegan County",2944,126
24940,New York,"West Monroe town, Oswego County",4252,126
17001,Minnesota,"Kelliher city, Beltrami County",262,126.1
19557,Missouri,"Kissee Mills CDP, Taney County",1109,126.1
23182,New York,"Charlton town, Saratoga County",4133,126.1
29350,Pennsylvania,"Chanceford township, York County",6111,126.1
31019,Pennsylvania,"Oakland township, Butler County",2987,126.1
31150,Pennsylvania,"Perry township, Fayette County",2552,126.1
7901,Illinois,"Rose Hill village, Jasper County",80,126.2
18280,Minnesota,"Thomson township, Carlton County",5003,126.2
23857,New York,"LaFayette town, Onondaga County",4952,126.2
32900,South Dakota,"Draper town, Jones County",82,126.2
36594,Virginia,"Camptown CDP, Isle of Wight County",766,126.2
18745,Mississippi,"Holcomb CDP, Grenada County",600,126.3
17866,Minnesota,"Rice Lake township, St. Louis County",4095,126.4
22655,New Mexico,Harding County (part),93,126.4
24194,New York,"Northampton town, Fulton County",2670,126.4
28664,Oregon,Idanha city,134,126.4
808,Alaska,"Hoonah city, Hoonah-Angoon Census Area",760,126.5
39735,Wisconsin,"Polk town, Washington County",3937,126.5
20105,Missouri,"Weingarten CDP, Ste. Genevieve County",133,126.6
23223,New York,"Claverack town, Columbia County",6021,126.6
34396,Texas,"Geronimo CDP, Guadalupe County",1032,126.6
36391,Vermont,"Richmond town, Chittenden County",4081,126.6
38134,West Virginia,"Salt Rock CDP, Cabell County",388,126.6
40385,Wyoming,"Bessemer Bend CDP, Natrona County",199,126.6
14186,Michigan,"Cross Village CDP, Emmet County",93,126.7
25531,North Carolina,"Minnesott Beach town, Pamlico County",440,126.7
28959,Pennsylvania,"Allison township, Clinton County",193,126.7
34523,Texas,"Hillside Acres CDP, Webb County",30,126.7
959,Alaska,"Sand Point city, Aleutians East Borough",976,126.8
24353,New York,"Perry town, Wyoming County",4616,126.8
24805,New York,"Tuscarora Nation Reservation, Niagara County",1152,126.8
40125,Wisconsin,"Troy town, St. Croix County",4705,126.8
10794,Kansas,"Virgil city, Greenwood County",71,126.9
29706,Pennsylvania,"East Penn township, Carbon County",2881,126.9
30025,Pennsylvania,"Granville township, Mifflin County",5104,126.9
33003,South Dakota,"Lane town, Jerauld County",59,126.9
19729,Missouri,"Napoleon city, Lafayette County",222,127
34254,Texas,"Elias-Fela Solis CDP, Starr County",30,127
12436,Maine,"Paris town, Oxford County",5183,127.1
521,Alabama,"Riverview town, Escambia County",184,127.2
14283,Michigan,"Eaton township, Eaton County",4073,127.2
25487,North Carolina,"McFarlan town, Anson County",117,127.2
31453,Pennsylvania,"Sandycreek township, Venango County",2260,127.2
35181,Texas,"Pinewood Estates CDP, Hardin County",1678,127.2
1260,Arizona,"Maricopa Colony CDP, Maricopa County",709,127.3
3753,Colorado,"Crisman CDP, Boulder County",186,127.3
12458,Maine,"Poland town, Androscoggin County",5376,127.3
25885,North Dakota,"Adams city, Walsh County",127,127.3
38024,West Virginia,"Mallory CDP, Logan County",1654,127.3
3916,Colorado,Douglas County (part),28,127.4
22715,New Mexico,"Quemado CDP, Catron County",228,127.4
191,Alabama,"Eva town, Morgan County",519,127.5
583,Alabama,"Sweet Water town, Marengo County",258,127.5
3149,California,"Pierpoint CDP, Tulare County",52,127.5
11712,Louisiana,"Heflin village, Webster Parish",244,127.5
16260,Minnesota,"Cromwell city, Carlton County",234,127.5
36395,Vermont,"Rockingham town, Windham County",5282,127.5
1006,Alaska,"Tuluksak CDP, Bethel Census Area",373,127.6
3210,California,"Rancho Tehama Reserve CDP, Tehama County",1485,127.6
13052,Maryland,"Powellville CDP, Wicomico County",189,127.6
23752,New York,"Homer town, Cortland County",6405,127.6
29531,Pennsylvania,"Croyle township, Cambria County",2339,127.6
30381,Pennsylvania,"Lackawannock township, Mercer County",2662,127.6
31619,Pennsylvania,"South Huntingdon township, Westmoreland County",5796,127.6
35947,Utah,"Jensen CDP, Uintah County",412,127.6
15512,Michigan,"Taymouth township, Saginaw County",4520,127.7
502,Alabama,"Providence town, Marengo County",223,127.8
3518,California,"Valley Acres CDP, Kern County",527,127.8
16399,Minnesota,"East Gull Lake city, Cass County",1004,127.8
18686,Mississippi,"Doddsville town, Sunflower County",98,127.8
20307,Montana,"Heart Butte CDP, Pondera County",582,127.8
30931,Pennsylvania,"Newton township, Lackawanna County",2846,127.8
253,Alabama,"Graysville city, Jefferson County",2165,127.9
1311,Arizona,Gila County (part),377,127.9
3639,Colorado,"Amherst CDP, Phillips County",58,127.9
11997,Louisiana,"Woodworth town, Rapides Parish",1096,127.9
12464,Maine,"Presque Isle city, Aroostook County",9692,127.9
15486,Michigan,"Sturgis township, St. Joseph County",2261,127.9
38395,Wisconsin,"Big Falls village, Waupaca County",61,127.9
4713,Florida,"Day CDP, Lafayette County",116,128
32008,Pennsylvania,"Washington township, Dauphin County",2268,128
1738,Arkansas,"Guy city, Faulkner County",708,128.1
2877,California,"Loma Rica CDP, Yuba County",2368,128.1
30155,Pennsylvania,"Hemlock township, Columbia County",2249,128.1
4026,Colorado,"Rollinsville CDP, Gilpin County",181,128.2
5472,Florida,"Yeehaw Junction CDP, Osceola County",240,128.2
14874,Michigan,"Manistee Lake CDP, Kalkaska County",456,128.2
16001,Minnesota,"Boy River city, Cass County",47,128.2
26008,North Dakota,"Finley city, Steele County",445,128.2
26223,North Dakota,Sarles city,28,128.2
29445,Pennsylvania,"Colerain township, Lancaster County",3635,128.2
32185,Pennsylvania,"Wilburton Number Two CDP, Columbia County",96,128.2
33558,Tennessee,"Orlinda city, Robertson County",859,128.2
35270,Texas,"Ratamosa CDP, Cameron County",254,128.2
36904,Virginia,"Mountain Road CDP, Halifax County",1100,128.2
39143,Wisconsin,"Janesville town, Rock County",3434,128.2
36678,Virginia,"Drakes Branch town, Charlotte County",530,128.3
9767,Iowa,"Osterdock city, Clayton County",59,128.4
10479,Kansas,Wyandotte County (part),40,128.4
24006,New York,"Mariaville Lake CDP, Schenectady County",722,128.4
28186,Oklahoma,"Newcastle city, McClain County",7685,128.4
31996,Pennsylvania,"Warrington township, York County",4532,128.4
35357,Texas,Hunt County (part),299,128.4
536,Alabama,Sand Rock town,560,128.5
4173,Connecticut,"Canterbury town, Windham County",5132,128.5
37442,Washington,"Lake Roesiger CDP, Snohomish County",503,128.5
3650,Colorado,"Atwood CDP, Logan County",133,128.6
20935,Nebraska,"Overland CDP, Hamilton County",153,128.6
26505,Ohio,"Cecil village, Paulding County",188,128.6
31200,Pennsylvania,"Platea borough, Erie County",430,128.6
32563,South Carolina,"Lane town, Williamsburg County",508,128.6
21574,New Hampshire,"Wakefield town, Carroll County",5078,128.7
39321,Wisconsin,"Little Suamico town, Oconto County",4799,128.7
5836,Georgia,"Jacksonville city, Telfair County",140,128.8
18160,Minnesota,"Spring Lake township, Scott County",3631,128.8
18855,Mississippi,"Paden village, Tishomingo County",116,128.8
25965,North Dakota,"Dahlen CDP, Nelson County",18,128.8
26127,North Dakota,"Manning CDP, Dunn County",74,128.8
35284,Texas,Reklaw city,379,128.8
36737,Virginia,"Gargatha CDP, Accomack County",381,128.8
1700,Arkansas,"Fountain Lake town, Garland County",503,128.9
16642,Minnesota,"Georgetown city, Clay County",129,128.9
21306,New Hampshire,"Candia town, Rockingham County",3909,128.9
21414,New Hampshire,"Hopkinton town, Merrimack County",5589,128.9
22500,New Mexico,"Des Moines village, Union County",143,128.9
30631,Pennsylvania,"Mahoning township, Lawrence County",3083,128.9
36853,Virginia,"Lovingston CDP, Nelson County",520,128.9
537,Alabama,Cherokee County (part),537,129
10248,Kansas,"Chicopee CDP, Crawford County",408,129
34526,Texas,"Hilltop Lakes CDP, Leon County",1101,129
35193,Texas,"Pleasant Valley town, Wichita County",336,129
35861,Utah,"Copperton CDP, Salt Lake County",826,129
23,Alabama,Jefferson County (part),61,129.1
2229,California,"Bodega Bay CDP, Sonoma County",1077,129.1
7382,Illinois,"Kaskaskia village, Randolph County",14,129.1
12820,Maryland,"Fairlee CDP, Kent County",490,129.1
601,Alabama,"Tidmore Bend CDP, Etowah County",1245,129.2
10301,Kansas,"Dunlap city, Morris County",30,129.2
19657,Missouri,Chariton County (part),12,129.2
35221,Texas,"Poynor town, Henderson County",305,129.2
4087,Colorado,"Timnath town, Larimer County",625,129.4
20592,Nebraska,"Bloomington village, Franklin County",103,129.4
22462,New Mexico,"Chical CDP, Valencia County",107,129.5
27981,Oklahoma,"Grainola town, Osage County",31,129.5
32799,South Dakota,"Allen CDP, Bennett County",420,129.5
16853,Minnesota,"Hewitt city, Todd County",266,129.6
28923,Pennsylvania,"Adams township, Cambria County",5972,129.6
30991,Pennsylvania,"North Towanda township, Bradford County",1132,129.6
1373,Arizona,"Sawmill CDP, Apache County",748,129.7
1386,Arizona,"Shonto CDP, Navajo County",591,129.7
2008,Arkansas,"Smithville town, Lawrence County",78,129.7
13196,Massachusetts,"Ashby town, Middlesex County",3074,129.7
23331,New York,"Deerfield town, Oneida County",4273,129.7
25699,North Carolina,"Sandyfield town, Columbus County",447,129.7
35045,Texas,"Nocona Hills CDP, Montague County",675,129.7
36482,Vermont,"West Rutland town, Rutland County",2326,129.7
39786,Wisconsin,"Pulcifer CDP, Shawano County",134,129.7
798,Alaska,"Haines CDP, Haines Borough",1713,129.8
14105,Michigan,"Chippewa township, Isabella County",4654,129.8
31131,Pennsylvania,"Penn Forest township, Carbon County",9581,129.8
5719,Georgia,"Edge Hill city, Glascock County",24,129.9
22975,New York,"Bath town, Steuben County",12379,129.9
28793,Oregon,"Prospect CDP, Jackson County",455,129.9
31524,Pennsylvania,"Shenango township, Mercer County",3929,129.9
33329,Tennessee,Enville town,189,129.9
35055,Texas,"North Cleveland city, Liberty County",247,129.9
1846,Arkansas,"McCaskill town, Hempstead County",96,130
18797,Mississippi,"McLain town, Greene County",441,130
25006,New York,"Worcester CDP, Otsego County",1113,130
27811,Oklahoma,"Cedar Valley city, Logan County",288,130
31574,Pennsylvania,"Smith township, Washington County",4476,130
32685,South Carolina,"Russellville CDP, Berkeley County",488,130
10464,Kansas,"Kickapoo Site 7 CDP, Brown County",66,130.1
11643,Louisiana,"Egan CDP, Acadia Parish",631,130.1
24818,New York,"Union Vale town, Dutchess County",4877,130.1
20734,Nebraska,"Gandy village, Logan County",32,130.2
30560,Pennsylvania,"Lower Mount Bethel township, Northampton County",3101,130.2
34143,Texas,"Cuevitas CDP, Hidalgo County",40,130.2
3673,Colorado,"Black Forest CDP, El Paso County",13116,130.3
13315,Massachusetts,"Erving town, Franklin County",1800,130.3
28013,Oklahoma,"Hickory town, Murray County",71,130.4
33330,Tennessee,Chester County (part),189,130.4
37486,Washington,"Maple Falls CDP, Whatcom County",324,130.4
15011,Michigan,"Morton township, Mecosta County",4311,130.5
28223,Oklahoma,Pottawatomie County (part),64,130.5
31859,Pennsylvania,"Turbot township, Northumberland County",1806,130.5
12530,Maine,"Southwest Harbor town, Hancock County",1764,130.6
16295,Minnesota,"Danvers city, Swift County",97,130.6
4896,Florida,"Hosford CDP, Liberty County",650,130.7
20948,Nebraska,"Parks CDP, Dundy County",23,130.7
14593,Michigan,"Henrietta township, Jackson County",4705,130.8
15304,Michigan,"Rives township, Jackson County",4683,130.8
7678,Illinois,"New Salem village, Pike County",137,130.9
15107,Michigan,"Olive township, Ottawa County",4735,130.9
15706,Michigan,"Yankee Springs township, Barry County",4065,130.9
20174,Montana,"Belfry CDP, Carbon County",218,130.9
39412,Wisconsin,"Mason village, Bayfield County",93,130.9
40193,Wisconsin,"Washington town, Eau Claire County",7182,130.9
15550,Michigan,"Tyrone township, Kent County",4731,131
21220,Nevada,"Round Hill Village CDP, Douglas County",759,131
21599,New Hampshire,"Wolfeboro town, Carroll County",6269,131
30680,Pennsylvania,"Masthope CDP, Pike County",685,131
34283,Texas,"Eureka city, Navarro County",307,131
2043,Arkansas,"Tull town, Grant County",448,131.1
33149,South Dakota,"Turton town, Spink County",48,131.1
20489,Montana,"Trout Creek CDP, Sanders County",242,131.2
28255,Oklahoma,Piedmont city,5720,131.2
2182,California,"Beale AFB CDP, Yuba County",1319,131.3
4451,Connecticut,"Woodstock town, Windham County",7964,131.3
11736,Louisiana,"Joyce CDP, Winn Parish",384,131.3
22810,New Mexico,"Tohatchi CDP, McKinley County",808,131.3
6310,Hawaii,"Mahinahina CDP, Maui County",880,131.4
19707,Missouri,Ralls County (part),31,131.4
34968,Texas,"Montgomery city, Montgomery County",621,131.4
36952,Virginia,"Parrott CDP, Pulaski County",435,131.4
38165,West Virginia,"Thomas city, Tucker County",586,131.4
8280,Indiana,"Bass Lake CDP, Starke County",1195,131.5
13958,Michigan,"Brethren CDP, Manistee County",410,131.5
23561,New York,"Gardiner town, Ulster County",5713,131.5
25184,North Carolina,"Cofield village, Hertford County",413,131.5
1665,Arkansas,"Edmondson town, Crittenden County",427,131.6
4156,Connecticut,"Bozrah town, New London County",2627,131.6
31428,Pennsylvania,"St. Marys city, Elk County",13070,131.6
9062,Iowa,Poweshiek County (part),17,131.7
10874,Kentucky,"Beech Grove CDP, McLean County",243,131.7
14390,Michigan,"Forest township, Genesee County",4702,131.7
23952,New York,"Lowville town, Lewis County",4982,131.7
28608,Oregon,"Foots Creek CDP, Jackson County",799,131.7
29399,Pennsylvania,"Clarion township, Clarion County",4116,131.7
39038,Wisconsin,"Hartford town, Washington County",3609,131.7
2505,California,"East Shore CDP, Plumas County",156,131.9
93,Alabama,"Carlisle-Rockledge CDP, Etowah County",2137,132
18340,Minnesota,"Upsala city, Morrison County",427,132
21068,Nebraska,"Tryon CDP, McPherson County",157,132
23659,New York,"Hailesboro CDP, St. Lawrence County",624,132
32151,Pennsylvania,"West Taylor township, Cambria County",795,132
33246,Tennessee,"Bowman CDP, Cumberland County",302,132
21241,Nevada,"Topaz Lake CDP, Douglas County",157,132.1
21835,New Jersey,"Franklin township, Warren County",3176,132.1
33338,Tennessee,"Fairfield CDP, Sumner County",131,132.1
40386,Wyoming,"Beulah CDP, Crook County",73,132.1
4014,Colorado,"Raymer (New Raymer) town, Weld County",96,132.2
7703,Illinois,Cook County (part),7,132.2
29682,Pennsylvania,"East Franklin township, Armstrong County",4082,132.2
1093,Arizona,"Cave Creek town, Maricopa County",5015,132.3
1177,Arizona,"Ganado CDP, Apache County",1210,132.3
3488,California,"Tres Pinos CDP, San Benito County",476,132.3
6372,Hawaii,"Wainiha CDP, Kauai County",318,132.3
24379,New York,"Pine Hill CDP, Ulster County",275,132.3
26273,North Dakota,"Wales city, Cavalier County",31,132.3
31904,Pennsylvania,"Upper Augusta township, Northumberland County",2586,132.3
35885,Utah,"Elwood town, Box Elder County",1034,132.3
189,Alabama,"Eunola CDP, Geneva County",243,132.4
14830,Michigan,"Lockport township, St. Joseph County",3787,132.4
17602,Minnesota,"Northome city, Koochiching County",200,132.4
17621,Minnesota,"Nowthen city, Anoka County",4443,132.4
17727,Minnesota,"Pequot Lakes city, Crow Wing County",2162,132.4
36793,Virginia,"Hot Springs CDP, Bath County",738,132.4
14826,Michigan,"Little Traverse township, Emmet County",2380,132.5
18930,Mississippi,State Line town,565,132.5
2576,California,"Foresthill CDP, Placer County",1483,132.6
29063,Pennsylvania,"Bear Creek Village borough, Luzerne County",257,132.6
6030,Georgia,"Putney CDP, Dougherty County",2898,132.7
25997,North Dakota,Cass County (part),4,132.7
31805,Pennsylvania,"Tinicum township, Bucks County",3995,132.8
33603,Tennessee,"Rossville town, Fayette County",664,132.8
28163,Oklahoma,"Minco city, Grady County",1632,132.9
35069,Texas,"Oak Ridge town (Kaufman County), Kaufman County",495,132.9
316,Alabama,"Ider town, DeKalb County",723,133
809,Alaska,"Hooper Bay city, Wade Hampton Census Area",1093,133
1403,Arizona,"Stotonic Village CDP, Pinal County",659,133
2019,Arkansas,"Strawberry town, Lawrence County",302,133
4075,Colorado,"Sunshine CDP, Boulder County",230,133
5258,Florida,"Roeville CDP, Santa Rosa County",608,133
13289,Massachusetts,Middlesex County (part),383,133
15711,Michigan,"Zeba CDP, Baraga County",480,133
26114,North Dakota,"Logan CDP, Ward County",194,133
32234,Pennsylvania,"Woodward township, Clinton County",2372,133
33694,Tennessee,"Walterhill CDP, Rutherford County",401,133
16130,Minnesota,"Cedar Mills city, Meeker County",45,133.1
21286,New Hampshire,"Bennington town, Hillsborough County",1476,133.1
23853,New York,"Kysorville CDP, Livingston County",110,133.1
39425,Wisconsin,"Medary town, La Crosse County",1461,133.1
1944,Arkansas,"Pineville town, Izard County",238,133.2
3023,California,"Mount Hebron CDP, Siskiyou County",95,133.2
5944,Georgia,"Montrose town, Laurens County",215,133.2
27963,Oklahoma,"Garvin town, McCurtain County",256,133.2
32842,South Dakota,"Brant Lake CDP, Lake County",159,133.2
33630,Tennessee,"Slayden town, Dickson County",178,133.2
7685,Illinois,"Nora village, Jo Daviess County",121,133.3
8852,Indiana,"Scipio CDP, Jennings County",153,133.3
21358,New Hampshire,"Epsom town, Merrimack County",4566,133.3
31948,Pennsylvania,"Valley township, Montour County",2158,133.3
37735,Washington,"Upper Elochoman CDP, Wahkiakum County",193,133.3
1389,Arizona,"Sierra Vista Southeast CDP, Cochise County",14797,133.4
5764,Georgia,"Geneva town, Talbot County",105,133.4
36974,Virginia,"Pungoteague CDP, Accomack County",347,133.4
2761,California,"Keswick CDP, Shasta County",451,133.5
9307,Iowa,"East Peru city, Madison County",125,133.6
18175,Minnesota,"Squaw Lake city, Itasca County",107,133.6
20270,Montana,"Forest Hill Village CDP, Flathead County",206,133.6
23336,New York,"DeKalb Junction CDP, St. Lawrence County",519,133.6
40486,Wyoming,"Manderson town, Big Horn County",114,133.6
12257,Maine,"Hollis town, York County",4281,133.7
12471,Maine,"Raymond town, Cumberland County",4436,133.7
17685,Minnesota,"Ottertail city, Otter Tail County",572,133.7
28264,Oklahoma,"Pocola town, Le Flore County",4056,133.7
32001,Pennsylvania,"Warwick township, Chester County",2507,133.7
34854,Texas,Bexar County (part),37,133.7
36439,Vermont,"Swanton town, Franklin County",6427,133.8
33380,Tennessee,"Greenback city, Loudon County",1064,133.9
25108,North Carolina,"Bonnetsville CDP, Sampson County",443,134
28660,Oregon,"Holley CDP, Linn County",378,134
37162,Washington,"Anderson Island CDP, Pierce County",1037,134
37494,Washington,"Marrowstone CDP, Jefferson County",844,134
13267,Massachusetts,"Clarksburg town, Berkshire County",1702,134.1
442,Alabama,"Newville town, Henry County",539,134.2
3812,Colorado,"Franktown CDP, Douglas County",395,134.2
3973,Colorado,"Nunn town, Weld County",416,134.2
11623,Louisiana,"Deville CDP, Rapides Parish",1764,134.2
31148,Pennsylvania,"Perry township, Berks County",2417,134.2
1359,Arizona,"St. Johns city, Apache County",3480,134.3
2174,California,"Ballico CDP, Merced County",406,134.3
6351,Hawaii,"Ualapu'e CDP, Maui County",425,134.3
32934,South Dakota,"Garden City town, Clark County",53,134.3
7706,Illinois,"Oakdale village, Washington County",221,134.4
1840,Arkansas,"Lost Bridge Village CDP, Benton County",434,134.5
23373,New York,"Duane Lake CDP, Schenectady County",323,134.5
10695,Kansas,"Rosalia CDP, Butler County",171,134.6
22430,New Mexico,"Boles Acres CDP, Otero County",1638,134.6
5938,Georgia,"Mitchell town, Glascock County",199,134.7
34653,Texas,"Knippa CDP, Uvalde County",689,134.7
12228,Maine,"Greene town, Androscoggin County",4350,134.8
16739,Minnesota,"Grey Cloud Island township, Washington County",289,134.8
16469,Minnesota,Waseca County (part),2,134.8
588,Alabama,"Talladega Springs town, Talladega County",166,134.9
1315,Arizona,"Picture Rocks CDP, Pima County",9563,134.9
23056,New York,"Bridgehampton CDP, Suffolk County",1756,135
23912,New York,"Lima town, Livingston County",4305,135
32397,South Carolina,"Catawba CDP, York County",1343,135
4261,Connecticut,"Lebanon town, New London County",7308,135.1
8613,Indiana,"Landess CDP, Grant County",188,135.1
14659,Michigan,"Ida township, Monroe County",4964,135.1
31943,Pennsylvania,"Utica borough, Venango County",189,135.1
5928,Georgia,"Midville city, Burke County",269,135.2
29420,Pennsylvania,"Clinton township, Lycoming County",3708,135.2
33395,Tennessee,"Helenwood CDP, Scott County",865,135.2
137,Alabama,"Creola city, Mobile County",1926,135.3
15039,Michigan,"Nelson township, Kent County",4764,135.3
28830,Oregon,"Shedd CDP, Linn County",204,135.3
14537,Michigan,"Hadley township, Lapeer County",4528,135.4
31493,Pennsylvania,Fayette County (part),15,135.4
10894,Kentucky,"Boston CDP, Nelson County",266,135.5
13804,Michigan,"Attica township, Lapeer County",4755,135.5
24495,New York,"Ridgeway town, Orleans County",6780,135.5
1074,Arizona,"Buckeye town, Maricopa County",50876,135.6
3947,Colorado,"Minturn town, Eagle County",1027,135.6
12394,Maine,"Norridgewock CDP, Somerset County",1438,135.6
29495,Pennsylvania,"Cooper township, Montour County",932,135.6
18614,Mississippi,"Big Creek village, Calhoun County",154,135.7
20454,Montana,"Seeley Lake CDP, Missoula County",1659,135.7
32393,South Carolina,"Cameron town, Calhoun County",424,135.7
2039,Arkansas,"Tontitown city, Washington County",2460,135.8
4649,Florida,"Caryville town, Washington County",411,135.8
22787,New Mexico,"Soham CDP, San Miguel County",210,135.8
32757,South Carolina,"Wallace CDP, Marlboro County",892,135.8
33291,Tennessee,"Coopertown town, Robertson County",4278,135.8
518,Alabama,"Ridgeville town, Etowah County",112,135.9
1774,Arkansas,Fulton County (part),17,135.9
1759,Arkansas,"Hensley CDP, Pulaski County",139,135.9
25155,North Carolina,"Caswell Beach town, Brunswick County",398,135.9
31888,Pennsylvania,"Union township, Mifflin County",3460,135.9
14095,Michigan,"Chesaning township, Saginaw County",4659,136
33560,Tennessee,"Palmer town, Grundy County",672,136
37891,West Virginia,"Crumpler CDP, McDowell County",204,136
38679,Wisconsin,"Danbury CDP, Burnett County",172,136
1189,Arizona,"Goodyear Village CDP, Pinal County",457,136.1
10561,Kansas,"Mildred city, Allen County",28,136.1
11414,Kentucky,"South Wallins CDP, Harlan County",859,136.1
16723,Minnesota,"Greenfield city, Hennepin County",2777,136.1
29315,Pennsylvania,"Cass township, Schuylkill County",1958,136.1
36612,Virginia,"Charlotte Court House town, Charlotte County",543,136.1
7572,Illinois,"Menominee village, Jo Daviess County",248,136.2
12528,Maine,"South Thomaston town, Knox County",1558,136.2
15611,Michigan,"Watertown charter township, Clinton County",4836,136.2
18788,Mississippi,Pearl River County (part),28,136.2
25297,North Carolina,"Foxfire village, Moore County",902,136.2
28733,Oregon,"Mission CDP, Umatilla County",1037,136.2
765,Alaska,"Elim city, Nome Census Area",330,136.3
28094,Oklahoma,"Le Flore town, Le Flore County",190,136.3
33473,Tennessee,"McLemoresville town, Carroll County",352,136.3
18962,Mississippi,"Vancleave CDP, Jackson County",5886,136.4
35939,Utah,"Hoytsville CDP, Summit County",607,136.4
14258,Michigan,"Dryden township, Lapeer County",4768,136.5
28256,Oklahoma,Canadian County (part),5712,136.5
34055,Texas,Clarksville City city,865,136.5
26560,Ohio,"Collins CDP, Huron County",631,136.6
32356,South Carolina,"Awendaw town, Charleston County",1294,136.6
18658,Mississippi,"Collinsville CDP, Lauderdale County",1948,136.7
20180,Montana,"Bigfork CDP, Flathead County",4270,136.7
25496,North Carolina,"Mamers CDP, Harnett County",826,136.7
28906,Oregon,"Wimer CDP, Jackson County",678,136.7
31106,Pennsylvania,"Paupack township, Wayne County",3828,136.7
203,Alabama,"Five Points town, Chambers County",141,136.9
1935,Arkansas,"Peach Orchard city, Clay County",135,136.9
10026,Iowa,"Unionville city, Appanoose County",102,136.9
